gene_name	chrom	cytoband	A_log2r	A_cn	B_log2r	B_cn	diff	vtype	vtypes	n_samples	group
FASLG	1	1q5	-0.1798	diploid	-0.8847	mild loss	-0.7049	SNV	SNV	1	GroupB
TNFRSF14	1	1p13	1.3521	gain	1.3069	gain	-0.0452	SV	DEL	2	GroupB
MCL1	1	1q3	3.0000	HIGH AMP	3.0000	HIGH AMP	0.0000	SNV	SNV	1	GroupB
CD58	1	1p1	0.3968	mild gain	0.7946	gain	0.3978	SV	DEL	1	GroupA
MPEG1	11	11q1	1.0008	gain	0.7568	gain	-0.2440	SNV	SNV	2	GroupB
BAD	11	11q2	2.7018	HIGH AMP	3.0000	HIGH AMP	0.2982	SNV	SNV	1	GroupA
EED	11	11q4	1.2542	gain	1.5771	HIGH AMP	0.3229	SNV	INDEL,SNV	2	GroupA
KMT2D	12	12q2	3.0000	HIGH AMP	3.0000	HIGH AMP	0.0000	SV	DEL	3	GroupA
PTPN6	12	12p3	3.0000	HIGH AMP	3.0000	HIGH AMP	0.0000	SV	DEL	3	GroupA
STAT6	12	12q3	2.8742	HIGH AMP	3.0000	HIGH AMP	0.1258	SV	DEL	1	GroupA
KRAS	12	12p2	0.8518	gain	2.8680	HIGH AMP	2.0162	SV	DEL	1	GroupB
NFKBIA	14	14q2	2.6545	HIGH AMP	3.0000	HIGH AMP	0.3455	SV	DEL	1	GroupA
IKZF3	17	17q2	2.9974	HIGH AMP	3.0000	HIGH AMP	0.0026	SV	DEL	3	GroupA
TP53	17	17p2	2.8753	HIGH AMP	3.0000	HIGH AMP	0.1247	SV	DEL	3	GroupA
SRSF2	17	17q6	2.7146	HIGH AMP	2.9066	HIGH AMP	0.1920	SV	DEL	2	GroupA
BRCA1	17	17q2	1.7410	HIGH AMP	2.0246	HIGH AMP	0.2836	SV	DEL	1	GroupA
SPOP	17	17q3	2.1053	HIGH AMP	2.4682	HIGH AMP	0.3629	SV	DEL	1	GroupB
MALT1	18	18q5	0.9490	gain	0.8977	gain	-0.0513	SV	DEL	1	GroupB
BCL2	18	18q5	-0.0537	diploid	3.0000	HIGH AMP	3.0537	SV	DEL	2	GroupB
BBC3	19	19q3	2.6703	HIGH AMP	3.0000	HIGH AMP	0.3297	SV	DEL	2	GroupB
RELB	19	19q2	2.6418	HIGH AMP	3.0000	HIGH AMP	0.3582	SV	DEL	3	GroupB
IDH1	2	2q12	-0.2720	diploid	-1.8226	DEEP LOSS	-1.5506	SV	DEL	3	GroupA
GLI2	2	2q3	-2.0160	DEEP LOSS	-1.6058	DEEP LOSS	0.4102	SNV	INDEL,SNV	3	GroupA
DNMT3A	2	2p7	0.6647	gain	1.1623	gain	0.4976	SV	DEL	1	GroupA
SF3B1	2	2q11	2.2814	HIGH AMP	2.9520	HIGH AMP	0.6706	SV	DEL	3	GroupA
ASXL1	20	20q1	2.3289	HIGH AMP	2.8147	HIGH AMP	0.4858	SV	DEL	1	GroupB
XBP1	22	22q2	2.4287	HIGH AMP	2.9007	HIGH AMP	0.4720	SV	DEL	6	GroupA
MYD88	3	3p6	0.4193	mild gain	0.9636	gain	0.5443	SV	DEL	1	GroupA
GNAI2	3	3p5	2.2292	HIGH AMP	3.0000	HIGH AMP	0.7708	SV	DEL	2	GroupB
TNFAIP3	6	6q8	-1.1789	loss	-1.7527	DEEP LOSS	-0.5738	SV	DEL	1	GroupA
MYB	6	6q8	0.8457	gain	0.3299	mild gain	-0.5158	SV	DEL	1	GroupB
BCL7B	7	7q2	3.0000	HIGH AMP	3.0000	HIGH AMP	0.0000	SV	DEL	2	GroupB
EGFR	7	7p1	3.0000	HIGH AMP	3.0000	HIGH AMP	0.0000	SNV	SNV	2	GroupA
KMT2C	7	7q10	1.4530	gain	1.8607	HIGH AMP	0.4077	SV	DEL	2	GroupA
CARD11	7	7p6	2.4560	HIGH AMP	3.0000	HIGH AMP	0.5440	SV	DEL	1	GroupA
CDK5	7	7q10	2.1420	HIGH AMP	3.0000	HIGH AMP	0.8580	SV	DEL	1	GroupA
MET	7	7q6	1.6478	HIGH AMP	3.0000	HIGH AMP	1.3522	SV	DEL	1	GroupA
NOTCH1	9	9q10	2.2394	HIGH AMP	3.0000	HIGH AMP	0.7606	SV	DEL	2	GroupA
DDX3X	X	Xp2	2.0255	HIGH AMP	1.2397	gain	-0.7858	SV	DEL	3	GroupA
KDM6A	X	Xp2	-0.9056	mild loss	-0.8531	mild loss	0.0525	SV	DEL	2	GroupA
