gene_id	gene_name	category	groupA_samples	groupA_vtypes	groupB_samples	groupB_vtypes	n_groupA_samples	n_groupB_samples
ENSG00000243064	ABCC13	GroupB_exclusive			TK12,TK13,TK14	INDEL,SNV	0	3
ENSG00000196115	ADAM5	GroupB_exclusive			TK12,TK13,TK14	INDEL,SNV	0	3
ENSG00000134028	ADAMDEC1	GroupB_exclusive			TK12,TK13,TK14	SNV	0	3
ENSG00000259461	ANP32BP3	GroupB_exclusive			TK12,TK13,TK14	SNV	0	3
ENSG00000249885	ARHGEF38-IT1	GroupB_exclusive			TK12,TK13,TK14	SNV	0	3
ENSG00000159189	C1QC	GroupB_exclusive			TK12,TK13,TK14	INDEL,SNV	0	3
ENSG00000254166	CASC19	GroupB_exclusive			TK12,TK13,TK14	INDEL,SNV	0	3
ENSG00000246228	CASC8	GroupB_exclusive			TK12,TK13,TK14	INDEL,SNV	0	3
ENSG00000280997	CCAT2	GroupB_exclusive			TK12,TK13,TK14	SNV	0	3
ENSG00000126353	CCR7	GroupB_exclusive			TK12,TK13,TK14	INDEL,SNV	0	3
ENSG00000104938	CLEC4M	GroupB_exclusive			TK12,TK13,TK14	SNV	0	3
ENSG00000269096	CT45A3	GroupB_exclusive			TK12,TK13,TK14	SNV	0	3
ENSG00000138755	CXCL9	GroupB_exclusive			TK12,TK13,TK14	INDEL,SNV	0	3
ENSG00000197410	DCHS2	GroupB_exclusive			TK12,TK13,TK14	SNV	0	3
ENSG00000230196	DDX43P3	GroupB_exclusive			TK12,TK13,TK14	SNV	0	3
ENSG00000083622	ENSG00000083622	GroupB_exclusive			TK12,TK13,TK14	INDEL,SNV	0	3
ENSG00000227818	ENSG00000227818	GroupB_exclusive			TK12,TK13,TK14	SNV	0	3
ENSG00000231204	ENSG00000231204	GroupB_exclusive			TK12,TK13,TK14	INDEL,SNV	0	3
ENSG00000237735	ENSG00000237735	GroupB_exclusive			TK12,TK13,TK14	INDEL,SNV	0	3
ENSG00000250024	ENSG00000250024	GroupB_exclusive			TK12,TK13,TK14	SNV	0	3
ENSG00000253406	ENSG00000253406	GroupB_exclusive			TK12,TK13,TK14	SNV	0	3
ENSG00000254163	ENSG00000254163	GroupB_exclusive			TK12,TK13,TK14	SNV	0	3
