gene_id	gene_name	category	groupA_samples	groupA_vtypes	groupB_samples	groupB_vtypes	n_groupA_samples	n_groupB_samples
ENSG00000130402	ACTN4	Shared	TK13,TK14,TK16	DEL	TK10,TK12,TK18,TK91,TK92,TK93	DEL	3	6
ENSG00000089053	ANAPC5	Shared	TK13,TK14,TK16	DEL	TK10,TK12,TK18,TK91,TK92,TK93	DEL	3	6
ENSG00000140350	ANP32A	Shared	TK13,TK14,TK16	DEL	TK10,TK12,TK18,TK91,TK92,TK93	DEL	3	6
ENSG00000074370	ATP2A3	Shared	TK13,TK14,TK16	DEL	TK10,TK12,TK18,TK91,TK92,TK93	DEL	3	6
ENSG00000143612	C1orf43	Shared	TK13,TK14,TK16	DEL	TK10,TK12,TK18,TK91,TK92,TK93	DEL	3	6
ENSG00000008128	CDK11A	Shared	TK13,TK14,TK16	DEL	TK10,TK12,TK18,TK91,TK92,TK93	DEL	3	6
ENSG00000147889	CDKN2A	Shared	TK13,TK14,TK16	DEL	TK10,TK12,TK18,TK91,TK92,TK93	DEL	3	6
ENSG00000111642	CHD4	Shared	TK13,TK14,TK16	DEL	TK10,TK12,TK18,TK91,TK92,TK93	DEL	3	6
ENSG00000233750	CICP27	Shared	TK13,TK14,TK16	DEL	TK10,TK12,TK18,TK91,TK92,TK93	DEL	3	6
ENSG00000049656	CLPTM1L	Shared	TK13,TK14,TK16	DEL	TK10,TK12,TK18,TK91,TK92,TK93	DEL	3	6
ENSG00000091317	CMTM6	Shared	TK13,TK14,TK16	DEL	TK10,TK12,TK18,TK91,TK92,TK93	DEL	3	6
ENSG00000253364	COPDA1	Shared	TK13,TK14,TK16	DEL	TK10,TK12,TK18,TK91,TK92,TK93	DEL	3	6
ENSG00000149532	CPSF7	Shared	TK13,TK14,TK16	DEL	TK10,TK12,TK18,TK91,TK92,TK93	DEL	3	6
ENSG00000101160	CTSZ	Shared	TK13,TK14,TK16	DEL	TK10,TK12,TK18,TK91,TK92,TK93	DEL	3	6
ENSG00000129562	DAD1	Shared	TK13,TK14,TK16	DEL	TK10,TK12,TK18,TK91,TK92,TK93	DEL	3	6
ENSG00000279928	DDX11L17	Shared	TK13,TK14,TK16	DEL	TK10,TK12,TK18,TK91,TK92,TK93	DEL	3	6
ENSG00000284917	EEF1AKMT4-ECE2	Shared	TK13,TK14,TK16	DEL	TK10,TK12,TK18,TK91,TK92,TK93	DEL	3	6
ENSG00000107581	EIF3A	Shared	TK13,TK14,TK16	DEL	TK10,TK12,TK18,TK91,TK92,TK93	DEL	3	6
ENSG00000213140	ELK2AP	Shared	TK13,TK14,TK16	DEL	TK10,TK12,TK18,TK91,TK92,TK93	DEL	3	6
ENSG00000215154	ENSG00000215154	Shared	TK13,TK14,TK16	DEL	TK10,TK12,TK18,TK91,TK92,TK93	DEL	3	6
ENSG00000227775	ENSG00000227775	Shared	TK13,TK14,TK16	DEL	TK10,TK12,TK18,TK91,TK92,TK93	DEL	3	6
ENSG00000229836	ENSG00000229836	Shared	TK13,TK14,TK16	DEL	TK10,TK12,TK18,TK91,TK92,TK93	DEL	3	6
ENSG00000229839	ENSG00000229839	Shared	TK13,TK14,TK16	DEL	TK10,TK12,TK18,TK91,TK92,TK93	DEL	3	6
ENSG00000238009	ENSG00000238009	Shared	TK13,TK14,TK16	DEL	TK10,TK12,TK18,TK91,TK92,TK93	DEL	3	6
ENSG00000239906	ENSG00000239906	Shared	TK13,TK14,TK16	DEL	TK10,TK12,TK18,TK91,TK92,TK93	DEL	3	6
ENSG00000239945	ENSG00000239945	Shared	TK13,TK14,TK16	DEL	TK10,TK12,TK18,TK91,TK92,TK93	DEL	3	6
ENSG00000241599	ENSG00000241599	Shared	TK13,TK14,TK16	DEL	TK10,TK12,TK18,TK91,TK92,TK93	DEL	3	6
ENSG00000241860	ENSG00000241860	Shared	TK13,TK14,TK16	DEL	TK10,TK12,TK18,TK91,TK92,TK93	DEL	3	6
ENSG00000260176	ENSG00000260176	Shared	TK13,TK14,TK16	DEL	TK10,TK12,TK18,TK91,TK92,TK93	DEL	3	6
ENSG00000266941	ENSG00000266941	Shared	TK13,TK14,TK16	DEL	TK10,TK12,TK18,TK91,TK92,TK93	DEL	3	6
ENSG00000267375	ENSG00000267375	Shared	TK13,TK14,TK16	DEL	TK10,TK12,TK18,TK91,TK92,TK93	DEL	3	6
ENSG00000268575	ENSG00000268575	Shared	TK13,TK14,TK16	DEL	TK10,TK12,TK18,TK91,TK92,TK93	DEL	3	6
ENSG00000268903	ENSG00000268903	Shared	TK13,TK14,TK16	DEL	TK10,TK12,TK18,TK91,TK92,TK93	DEL	3	6
ENSG00000269737	ENSG00000269737	Shared	TK13,TK14,TK16	DEL	TK10,TK12,TK18,TK91,TK92,TK93	DEL	3	6
ENSG00000269981	ENSG00000269981	Shared	TK13,TK14,TK16	DEL	TK10,TK12,TK18,TK91,TK92,TK93	DEL	3	6
ENSG00000273445	ENSG00000273445	Shared	TK13,TK14,TK16	DEL	TK10,TK12,TK18,TK91,TK92,TK93	DEL	3	6
ENSG00000279057	ENSG00000279057	Shared	TK13,TK14,TK16	DEL	TK10,TK12,TK18,TK91,TK92,TK93	DEL	3	6
ENSG00000285702	ENSG00000285702	Shared	TK13,TK14,TK16	DEL	TK10,TK12,TK18,TK91,TK92,TK93	DEL	3	6
ENSG00000286070	ENSG00000286070	Shared	TK13,TK14,TK16	DEL	TK10,TK12,TK18,TK91,TK92,TK93	DEL	3	6
ENSG00000288730	ENSG00000288730	Shared	TK13,TK14,TK16	DEL	TK10,TK12,TK18,TK91,TK92,TK93	DEL	3	6
ENSG00000288813	ENSG00000288813	Shared	TK13,TK14,TK16	DEL	TK10,TK12,TK18,TK91,TK92,TK93	DEL	3	6
ENSG00000289536	ENSG00000289536	Shared	TK13,TK14,TK16	DEL	TK10,TK12,TK18,TK91,TK92,TK93	DEL	3	6
ENSG00000290728	ENSG00000290728	Shared	TK13,TK14,TK16	DEL	TK10,TK12,TK18,TK91,TK92,TK93	DEL	3	6
ENSG00000290826	ENSG00000290826	Shared	TK13,TK14,TK16	DEL	TK10,TK12,TK18,TK91,TK92,TK93	DEL	3	6
ENSG00000290839	ENSG00000290839	Shared	TK13,TK14,TK16	DEL	TK10,TK12,TK18,TK91,TK92,TK93	DEL	3	6
ENSG00000290854	ENSG00000290854	Shared	TK13,TK14,TK16	DEL	TK10,TK12,TK18,TK91,TK92,TK93	DEL	3	6
ENSG00000291228	ENSG00000291228	Shared	TK13,TK14,TK16	DEL	TK10,TK12,TK18,TK91,TK92,TK93	DEL	3	6
