chrom	win_mean_A	win_mean_B	win_log2fc	win_pval	win_padj	idx_mean_A	idx_mean_B	idx_log2fc	idx_pval	idx_padj	win_sig
1	0.4124	0.3929	0.0195	0.9118	0.9349	-0.4863	-0.2389	-0.2474	0.1667	0.2105	
2	-0.2104	-0.2383	0.0279	0.8475	0.9349	-1.109	-0.1721	-0.9366	0.02381	0.05195	
3	-0.2027	-0.0393	-0.1634	0.06931	0.2376	-1.272	-0.6215	-0.6501	0.02381	0.05195	
4	-0.8368	-0.8289	-0.0079	0.8812	0.9349	-1.485	-1.196	-0.2897	0.2619	0.3143	
5	-0.2757	-0.369	0.0933	0.6445	0.9349	-1.301	-1.066	-0.2346	0.1667	0.2105	
6	-0.2246	-0.2517	0.0271	0.8604	0.9349	-0.4945	-0.0475	-0.447	0.02381	0.05195	
7	0.079	0.5201	-0.4411	4.888e-06	0.0001173	-1.121	-0.1087	-1.013	0.02381	0.05195	***
8	-0.228	-0.2317	0.0037	0.9349	0.9349	-1.169	-0.754	-0.4151	0.1667	0.2105	
9	-0.3233	-0.1514	-0.1719	0.1356	0.4067	-1.237	-0.6603	-0.5767	0.02381	0.05195	
10	-0.1762	-0.1179	-0.0583	0.6335	0.9349	-1.585	-1.299	-0.2866	0.02381	0.05195	
11	0.0902	0.2613	-0.1711	0.06427	0.2376	-0.3601	0.2814	-0.6415	0.02381	0.05195	
12	0.1546	0.1982	-0.0437	0.5899	0.9349	-0.2725	0.1141	-0.3866	0.1667	0.2105	
13	-1.109	-0.9862	-0.1228	0.5571	0.9349	-2.838	-2.18	-0.6585	0.02381	0.05195	
14	0.0175	0.3014	-0.2839	0.0378	0.1815	-0.5244	0.7219	-1.246	0.09524	0.1758	
15	0.4976	0.4122	0.0854	0.7922	0.9349	-0.8583	-0.3401	-0.5182	0.09524	0.1758	
16	0.1817	0.1708	0.0109	0.7356	0.9349	-0.3099	0.0307	-0.3406	0.381	0.4354	
17	1.055	1.116	-0.0614	0.5192	0.9349	0.4087	0.7845	-0.3758	0.5476	0.5714	
18	-0.6621	-0.5645	-0.0975	0.5247	0.9349	-2.153	-1.083	-1.07	0.02381	0.05195	
19	1.395	1.947	-0.5518	4.493e-05	0.0005391	1.119	2.25	-1.132	0.02381	0.05195	***
20	0.1891	0.174	0.0151	0.6809	0.9349	-0.6591	-0.6748	0.0157	0.5476	0.5714	
21	-0.5333	-0.6512	0.1178	0.5594	0.9349	1.654	-0.141	1.795	0.1667	0.2105	
22	1.051	1.424	-0.3732	0.0006858	0.005487	2.212	0.814	1.398	0.1667	0.2105	**
X	-1.052	-0.9207	-0.1317	0.5534	0.9349	-1.527	-0.7068	-0.8198	0.02381	0.05195	
Y	-2.311	-2.562	0.2513	0.03761	0.1815	-4.728	-5.016	0.2886	0.9048	0.9048	
