chrom	n_windows	mean_A	mean_B	log2fc	U	pval	padj	-log10p	-log10padj
1	249	0.4124	0.3929	0.0195	476057.0	0.9118499189066238	0.9349316329428419	0.04007663618290488	0.029220145834687867
2	243	-0.2104	-0.2383	0.0279	530799.0	0.8475000066435052	0.9349316329428419	0.07186028972047002	0.029220145834687867
3	199	-0.2027	-0.0393	-0.1634	333539.0	0.06931003816879404	0.2376344165787224	1.159203861988398	0.6240906602910489
4	191	-0.8368	-0.8289	-0.0079	325166.5	0.8812204038931756	0.9349316329428419	0.054915455693277625	0.029220145834687867
5	182	-0.2757	-0.369	0.0933	297025.0	0.6444611432164837	0.9349316329428419	0.1908032626323625	0.029220145834687867
6	171	-0.2246	-0.2517	0.0271	262035.5	0.8604101259695487	0.9349316329428419	0.06529448714229083	0.029220145834687867
7	160	0.079	0.5201	-0.4411	191941.0	4.88808657373485e-06	0.00011731407776963642	5.310861110833758	3.9306498691221523
8	146	-0.228	-0.2317	0.0037	187836.0	0.9349316329428419	0.9349316329428419	0.029220145834687867	0.029220145834687867
9	139	-0.3233	-0.1514	-0.1719	129955.5	0.13557708660449466	0.406731259813484	0.8678137028147315	0.3906924480950691
10	134	-0.1762	-0.1179	-0.0583	157510.0	0.6335466763107285	0.9349316329428419	0.1982213831208275	0.029220145834687867
11	136	0.0902	0.2613	-0.1711	150166.0	0.06426597029823454	0.2376344165787224	1.1920189310232752	0.6240906602910489
12	134	0.1546	0.1982	-0.0437	155777.0	0.5899000924589188	0.9349316329428419	0.2292215357610183	0.029220145834687867
13	115	-1.109	-0.9862	-0.1228	82402.0	0.5570862974514139	0.9349316329428419	0.25407752367020253	0.029220145834687867
14	108	0.0175	0.3014	-0.2839	65920.5	0.037803161249343756	0.18145517399685002	1.4224718812278512	0.741230643852264
15	102	0.4976	0.4122	0.0854	64502.0	0.7921931825615891	0.9349316329428419	0.10116889935740428	0.029220145834687867
16	91	0.1817	0.1708	0.0109	62052.5	0.7356289024618021	0.9349316329428419	0.13334121590339096	0.029220145834687867
17	84	1.0548	1.1162	-0.0614	58632.0	0.5192365440464898	0.9349316329428419	0.2846347493370691	0.029220145834687867
18	81	-0.6621	-0.5645	-0.0975	53850.0	0.5247140919245593	0.9349316329428419	0.28007727206449007	0.029220145834687867
19	59	1.3951	1.947	-0.5518	23372.0	4.4926896773078854e-05	0.0005391227612769463	4.347493578310426	3.268312332262801
20	65	0.1891	0.174	0.0151	38126.0	0.6808729430064213	0.9349316329428419	0.16693392376920252	0.029220145834687867
21	47	-0.5333	-0.6512	0.1178	15811.5	0.5594325493417381	0.9349316329428419	0.25225226876845547	0.029220145834687867
22	51	1.051	1.4241	-0.3732	11002.5	0.0006858465896536274	0.005486772717229019	3.163773016534822	2.2606830295428786
X	157	-1.0524	-0.9207	-0.1317	212106.0	0.5533681171100502	0.9349316329428419	0.25698586681063756	0.029220145834687867
Y	58	-2.3109	-2.5623	0.2513	7813.5	0.03761344632017274	0.18145517399685002	1.4246568726593971	0.741230643852264
