chrom	n_A	n_B	mean_A	mean_B	log2fc	U	pval	padj	-log10p	-log10padj
1	6	3	-0.4863	-0.2389	-0.2474	3	0.1667	0.2105	0.7782	0.6767
2	6	3	-1.109	-0.1721	-0.9366	0	0.02381	0.05195	1.623	1.284
3	6	3	-1.272	-0.6215	-0.6501	0	0.02381	0.05195	1.623	1.284
4	6	3	-1.485	-1.196	-0.2897	4	0.2619	0.3143	0.5819	0.5027
5	6	3	-1.301	-1.066	-0.2346	3	0.1667	0.2105	0.7782	0.6767
6	6	3	-0.4945	-0.0475	-0.447	0	0.02381	0.05195	1.623	1.284
7	6	3	-1.121	-0.1087	-1.013	0	0.02381	0.05195	1.623	1.284
8	6	3	-1.169	-0.754	-0.4151	3	0.1667	0.2105	0.7782	0.6767
9	6	3	-1.237	-0.6603	-0.5767	0	0.02381	0.05195	1.623	1.284
10	6	3	-1.585	-1.299	-0.2866	0	0.02381	0.05195	1.623	1.284
11	6	3	-0.3601	0.2814	-0.6415	0	0.02381	0.05195	1.623	1.284
12	6	3	-0.2725	0.1141	-0.3866	3	0.1667	0.2105	0.7782	0.6767
13	6	3	-2.838	-2.18	-0.6585	0	0.02381	0.05195	1.623	1.284
14	6	3	-0.5244	0.7219	-1.246	2	0.09524	0.1758	1.021	0.7549
15	6	3	-0.8583	-0.3401	-0.5182	2	0.09524	0.1758	1.021	0.7549
16	6	3	-0.3099	0.0307	-0.3406	5	0.381	0.4354	0.4191	0.3611
17	6	3	0.4087	0.7845	-0.3758	6	0.5476	0.5714	0.2615	0.243
18	6	3	-2.153	-1.083	-1.07	0	0.02381	0.05195	1.623	1.284
19	6	3	1.119	2.25	-1.132	0	0.02381	0.05195	1.623	1.284
20	6	3	-0.6591	-0.6748	0.0157	6	0.5476	0.5714	0.2615	0.243
21	6	3	1.654	-0.141	1.795	15	0.1667	0.2105	0.7782	0.6767
22	6	3	2.212	0.814	1.398	15	0.1667	0.2105	0.7782	0.6767
X	6	3	-1.527	-0.7068	-0.8198	0	0.02381	0.05195	1.623	1.284
Y	6	3	-4.728	-5.016	0.2886	8	0.9048	0.9048	0.04347	0.04347
