chrom	A_med	A_q25	A_q75	B_med	B_q25	B_q75	diff	interpretation
1	0.7949	0.7779	0.9655	0.9572	0.9546	0.9746	0.1622	B gained
2	0.2815	0.2695	0.4190	0.0911	0.0254	0.1041	-0.1904	diploid / no clear CNG
3	0.2274	0.1287	0.4191	0.5656	0.5222	0.6297	0.3382	B gained
4	-0.7294	-1.0208	-0.6651	-0.9024	-0.9518	-0.8408	-0.1730	A lost more
5	0.0976	0.0729	0.1695	-0.1360	-0.2209	-0.0975	-0.2337	diploid / no clear CNG
6	0.0962	0.0708	0.1951	0.0202	0.0201	0.0347	-0.0760	diploid / no clear CNG
7	0.2944	0.2830	0.8606	1.3427	1.3346	1.3728	1.0483	B gained
8	0.1136	-0.1042	0.3729	-0.1277	-0.1640	-0.0962	-0.2414	diploid / no clear CNG
9	-0.0233	-0.1238	0.0010	0.0659	-0.0408	0.0978	0.0892	diploid / no clear CNG
10	0.1024	0.0578	0.1909	0.1216	0.0074	0.1355	0.0192	diploid / no clear CNG
11	0.5644	0.4700	0.9588	0.8535	0.7992	0.9303	0.2891	B gained
12	0.6410	0.4994	0.9784	0.8944	0.7597	0.9155	0.2535	B gained
13	-1.5069	-1.5689	-1.2061	-1.0319	-1.0405	-0.8461	0.4750	diploid / no clear CNG
14	0.7288	0.6658	0.7991	1.3411	1.3127	1.3472	0.6123	B gained
15	1.0446	0.8711	1.2685	0.8948	0.8809	0.9186	-0.1498	B gained
16	1.1167	1.0798	1.3498	0.9194	0.8270	0.9782	-0.1973	B gained
17	2.0348	1.8001	2.2881	1.9835	1.8943	1.9901	-0.0514	B gained
18	-0.7041	-0.8032	-0.6571	-0.6083	-0.6140	-0.5217	0.0958	diploid / no clear CNG
19	2.5610	2.1325	2.9820	3.0000	3.0000	3.0000	0.4390	B gained
20	0.4884	0.3741	0.8223	0.8108	0.7488	0.9431	0.3224	B gained
21	-0.5546	-0.8005	-0.4102	-0.6531	-0.8736	-0.5580	-0.0985	A lost more
22	1.9009	1.7508	2.1760	2.7776	2.6901	2.7796	0.8767	B gained
X	-1.4007	-1.4662	-1.3154	-1.5433	-1.6875	-1.4281	-0.1426	A lost more
Y	-3.0000	-3.0000	-3.0000	-3.0000	-3.0000	-3.0000	0.0000	diploid / no clear CNG
