gene_id	gene_name	exclusive_group	variant_types	mutation_class
ENSG00000002330	BAD	TK16	SNV	SNV
ENSG00000003989	SLC7A2	TK93	SNV	SNV
ENSG00000004809	SLC22A16	TK14	SNV	SNV
ENSG00000004846	ABCB5	TK91	SNV	SNV
ENSG00000004866	ST7	TK91	SNV	SNV
ENSG00000004948	CALCR	TK13	SNV	SNV
ENSG00000005001	PRSS22	TK13	SNV	SNV
ENSG00000006283	CACNA1G	TK93	SNV	SNV
ENSG00000007001	UPP2	TK93	SNV	SNV
ENSG00000008324	SS18L2	TK10	SNV	SNV
ENSG00000009709	PAX7	TK13	SNV	SNV
ENSG00000011465	DCN	TK13	INDEL,SNV	SNV
ENSG00000012124	CD22	TK13	SNV	SNV
ENSG00000012223	LTF	TK13	SNV	SNV
ENSG00000012504	NR1H4	TK13	SNV	SNV
ENSG00000016602	CLCA4	TK10	SNV	SNV
ENSG00000036565	SLC18A1	TK13	SNV	SNV
ENSG00000037965	HOXC8	TK10	INDEL	SNV
ENSG00000039068	CDH1	TK92	SNV	SNV
ENSG00000039987	BEST2	TK92	SNV	SNV
ENSG00000044115	CTNNA1	TK91	SNV	SNV
ENSG00000047617	ANO2	TK10	SNV	SNV
ENSG00000049618	ARID1B	TK16	SNV	SNV
ENSG00000054148	PHPT1	TK92	SNV	SNV
ENSG00000054356	PTPRN	TK92	SNV	SNV
ENSG00000054796	SPO11	TK13	SNV	SNV
ENSG00000055950	MRPL43	TK16	INDEL	SNV
ENSG00000055955	ITIH4	TK92	INDEL	SNV
ENSG00000056998	GYG2	TK14	SNV	SNV
ENSG00000057593	F7	TK13	SNV	SNV
ENSG00000060303	RPS17P5	TK92	SNV	SNV
ENSG00000060558	GNA15	TK10	SNV	SNV
ENSG00000061492	WNT8A	TK92	INDEL	SNV
ENSG00000064218	DMRT3	TK16	SNV	SNV
ENSG00000064300	NGFR	TK92	SNV	SNV
ENSG00000065911	MTHFD2	TK12	SNV	SNV
ENSG00000066032	CTNNA2	TK14	SNV	SNV
