sample,group,bam,bai
TK1049,TK10,/mnt/z/Download/TK/TK1049.markdup.sorted.bam,/mnt/z/Download/TK/TK1049.markdup.sorted.bam.bai
TK1050,TK10,/mnt/z/Download/TK/TK1050.markdup.sorted.bam,/mnt/z/Download/TK/TK1050.markdup.sorted.bam.bai
TK1051,TK10,/mnt/z/Download/TK/TK1051.markdup.sorted.bam,/mnt/z/Download/TK/TK1051.markdup.sorted.bam.bai
TK12R2,TK12,/mnt/z/Download/TK/TK12R2.markdup.sorted.bam,/mnt/z/Download/TK/TK12R2.markdup.sorted.bam.bai
TK12R3,TK12,/mnt/z/Download/TK/TK12R3.markdup.sorted.bam,/mnt/z/Download/TK/TK12R3.markdup.sorted.bam.bai
TK131,TK13,/mnt/z/Download/TK/TK131.markdup.sorted.bam,/mnt/z/Download/TK/TK131.markdup.sorted.bam.bai
TK132,TK13,/mnt/z/Download/TK/TK132.markdup.sorted.bam,/mnt/z/Download/TK/TK132.markdup.sorted.bam.bai
TK133,TK13,/mnt/z/Download/TK/TK133.markdup.sorted.bam,/mnt/z/Download/TK/TK133.markdup.sorted.bam.bai
TK141,TK14,/mnt/z/Download/TK/TK141.markdup.sorted.bam,/mnt/z/Download/TK/TK141.markdup.sorted.bam.bai
TK142,TK14,/mnt/z/Download/TK/TK142.markdup.sorted.bam,/mnt/z/Download/TK/TK142.markdup.sorted.bam.bai
TK143,TK14,/mnt/z/Download/TK/TK143.markdup.sorted.bam,/mnt/z/Download/TK/TK143.markdup.sorted.bam.bai
TK16R1,TK16,/mnt/z/Download/TK/TK16R1.markdup.sorted.bam,/mnt/z/Download/TK/TK16R1.markdup.sorted.bam.bai
TK16R2,TK16,/mnt/z/Download/TK/TK16R2.markdup.sorted.bam,/mnt/z/Download/TK/TK16R2.markdup.sorted.bam.bai
TK16R3,TK16,/mnt/z/Download/TK/TK16R3.markdup.sorted.bam,/mnt/z/Download/TK/TK16R3.markdup.sorted.bam.bai
TK18R1,TK18,/mnt/z/Download/TK/TK18R1.markdup.sorted.bam,/mnt/z/Download/TK/TK18R1.markdup.sorted.bam.bai
TK18R2,TK18,/mnt/z/Download/TK/TK18R2.markdup.sorted.bam,/mnt/z/Download/TK/TK18R2.markdup.sorted.bam.bai
TK18R3,TK18,/mnt/z/Download/TK/TK18R3.markdup.sorted.bam,/mnt/z/Download/TK/TK18R3.markdup.sorted.bam.bai
TK91L003,TK91,/mnt/z/Download/TK/TK91L003.markdup.sorted.bam,/mnt/z/Download/TK/TK91L003.markdup.sorted.bam.bai
TK91L005,TK91,/mnt/z/Download/TK/TK91L005.markdup.sorted.bam,/mnt/z/Download/TK/TK91L005.markdup.sorted.bam.bai
TK91L006,TK91,/mnt/z/Download/TK/TK91L006.markdup.sorted.bam,/mnt/z/Download/TK/TK91L006.markdup.sorted.bam.bai
TK92L002,TK92,/mnt/z/Download/TK/TK92L002.markdup.sorted.bam,/mnt/z/Download/TK/TK92L002.markdup.sorted.bam.bai
TK92L003,TK92,/mnt/z/Download/TK/TK92L003.markdup.sorted.bam,/mnt/z/Download/TK/TK92L003.markdup.sorted.bam.bai
TK92L005,TK92,/mnt/z/Download/TK/TK92L005.markdup.sorted.bam,/mnt/z/Download/TK/TK92L005.markdup.sorted.bam.bai
TK92L006,TK92,/mnt/z/Download/TK/TK92L006.markdup.sorted.bam,/mnt/z/Download/TK/TK92L006.markdup.sorted.bam.bai
TK93L002,TK93,/mnt/z/Download/TK/TK93L002.markdup.sorted.bam,/mnt/z/Download/TK/TK93L002.markdup.sorted.bam.bai
TK93L003,TK93,/mnt/z/Download/TK/TK93L003.markdup.sorted.bam,/mnt/z/Download/TK/TK93L003.markdup.sorted.bam.bai
TK93L005,TK93,/mnt/z/Download/TK/TK93L005.markdup.sorted.bam,/mnt/z/Download/TK/TK93L005.markdup.sorted.bam.bai
TK93L006,TK93,/mnt/z/Download/TK/TK93L006.markdup.sorted.bam,/mnt/z/Download/TK/TK93L006.markdup.sorted.bam.bai
