gene_id	gene_name	category	groupA_samples	groupA_vtypes	groupB_samples	groupB_vtypes	n_groupA_samples	n_groupB_samples
ENSG00000094914	AAAS	Shared	TK13,TK14,TK16	INDEL,SNV	TK10,TK12,TK18,TK91,TK92,TK93	INDEL,SNV	3	6
ENSG00000081760	AACS	Shared	TK13,TK14,TK16	INDEL,SNV	TK10,TK12,TK18,TK91,TK92,TK93	INDEL,SNV	3	6
ENSG00000103591	AAGAB	Shared	TK13,TK14,TK16	INDEL,SNV	TK10,TK12,TK18,TK91,TK92,TK93	INDEL,SNV	3	6
ENSG00000115977	AAK1	Shared	TK13,TK14,TK16	INDEL,SNV	TK10,TK12,TK18,TK91,TK92,TK93	INDEL,SNV	3	6
ENSG00000127837	AAMP	Shared	TK13,TK14,TK16	SNV	TK10,TK12,TK18,TK91,TK92,TK93	INDEL,SNV	3	6
ENSG00000129673	AANAT	Shared	TK13,TK14,TK16	INDEL,SNV	TK10,TK12,TK18,TK91,TK92,TK93	INDEL,SNV	3	6
ENSG00000131043	AAR2	Shared	TK13,TK14,TK16	INDEL,SNV	TK10,TK12,TK18,TK91,TK92,TK93	INDEL,SNV	3	6
ENSG00000090861	AARS1	Shared	TK13,TK14,TK16	INDEL,SNV	TK10,TK12,TK18,TK91,TK92,TK93	INDEL,SNV	3	6
ENSG00000124608	AARS2	Shared	TK13,TK14,TK16	INDEL,SNV	TK10,TK12,TK18,TK91,TK92,TK93	INDEL,SNV	3	6
ENSG00000157426	AASDH	Shared	TK13,TK14,TK16	INDEL,SNV	TK10,TK12,TK18,TK91,TK92,TK93	INDEL,SNV	3	6
ENSG00000149313	AASDHPPT	Shared	TK13,TK14,TK16	INDEL,SNV	TK10,TK12,TK18,TK91,TK92,TK93	INDEL,SNV	3	6
ENSG00000008311	AASS	Shared	TK13,TK14,TK16	INDEL,SNV	TK10,TK12,TK18,TK91,TK92,TK93	INDEL,SNV	3	6
ENSG00000215458	AATBC	Shared	TK13,TK14,TK16	INDEL,SNV	TK10,TK12,TK18,TK91,TK92,TK93	INDEL,SNV	3	6
ENSG00000275700	AATF	Shared	TK13,TK14,TK16	INDEL,SNV	TK10,TK12,TK18,TK91,TK92,TK93	INDEL,SNV	3	6
ENSG00000154263	ABCA10	Shared	TK13,TK14,TK16	INDEL,SNV	TK10,TK12,TK18,TK91,TK92,TK93	INDEL,SNV	3	6
ENSG00000144452	ABCA12	Shared	TK13,TK14,TK16	INDEL,SNV	TK10,TK12,TK18,TK91,TK92,TK93	INDEL,SNV	3	6
ENSG00000179869	ABCA13	Shared	TK13,TK14,TK16	SNV	TK10,TK12,TK18,TK91,TK92,TK93	SNV	3	6
ENSG00000238098	ABCA17P	Shared	TK13,TK14,TK16	INDEL,SNV	TK10,TK12,TK18,TK91,TK92,TK93	INDEL,SNV	3	6
ENSG00000107331	ABCA2	Shared	TK13,TK14,TK16	INDEL,SNV	TK10,TK12,TK18,TK91,TK92,TK93	INDEL,SNV	3	6
ENSG00000167972	ABCA3	Shared	TK13,TK14,TK16	INDEL,SNV	TK10,TK12,TK18,TK91,TK92,TK93	INDEL,SNV	3	6
ENSG00000154265	ABCA5	Shared	TK13,TK14,TK16	INDEL,SNV	TK10,TK12,TK18,TK91,TK92,TK93	INDEL,SNV	3	6
ENSG00000064687	ABCA7	Shared	TK13,TK14,TK16	INDEL,SNV	TK10,TK12,TK18,TK91,TK92,TK93	INDEL,SNV	3	6
ENSG00000135776	ABCB10	Shared	TK13,TK14,TK16	INDEL,SNV	TK10,TK12,TK18,TK91,TK92,TK93	INDEL,SNV	3	6
ENSG00000005471	ABCB4	Shared	TK13,TK14,TK16	INDEL,SNV	TK10,TK12,TK18,TK91,TK92,TK93	SNV	3	6
ENSG00000131269	ABCB7	Shared	TK13,TK14,TK16	INDEL,SNV	TK10,TK12,TK18,TK91,TK92,TK93	INDEL,SNV	3	6
ENSG00000150967	ABCB9	Shared	TK13,TK14,TK16	INDEL,SNV	TK10,TK12,TK18,TK91,TK92,TK93	INDEL,SNV	3	6
ENSG00000103222	ABCC1	Shared	TK13,TK14,TK16	INDEL,SNV	TK10,TK12,TK18,TK91,TK92,TK93	INDEL,SNV	3	6
ENSG00000124574	ABCC10	Shared	TK13,TK14,TK16	INDEL,SNV	TK10,TK12,TK18,TK91,TK92,TK93	INDEL,SNV	3	6
ENSG00000125257	ABCC4	Shared	TK13,TK14,TK16	INDEL,SNV	TK10,TK12,TK18,TK91,TK92,TK93	INDEL,SNV	3	6
ENSG00000114770	ABCC5	Shared	TK13,TK14,TK16	INDEL,SNV	TK10,TK12,TK18,TK91,TK92,TK93	INDEL,SNV	3	6
ENSG00000091262	ABCC6	Shared	TK13,TK14,TK16	SNV	TK10,TK12,TK18,TK91,TK92,TK93	INDEL,SNV	3	6
ENSG00000101986	ABCD1	Shared	TK13,TK14,TK16	INDEL,SNV	TK10,TK12,TK18,TK91,TK92,TK93	INDEL,SNV	3	6
ENSG00000173208	ABCD2	Shared	TK13,TK14,TK16	INDEL,SNV	TK10,TK12,TK18,TK91,TK92,TK93	INDEL,SNV	3	6
ENSG00000117528	ABCD3	Shared	TK13,TK14,TK16	INDEL,SNV	TK10,TK12,TK18,TK91,TK92,TK93	INDEL,SNV	3	6
ENSG00000119688	ABCD4	Shared	TK13,TK14,TK16	SNV	TK10,TK12,TK18,TK91,TK92,TK93	INDEL,SNV	3	6
ENSG00000204574	ABCF1	Shared	TK13,TK14,TK16	INDEL,SNV	TK10,TK12,TK18,TK91,TK92,TK93	INDEL,SNV	3	6
ENSG00000033050	ABCF2	Shared	TK13,TK14,TK16	INDEL,SNV	TK10,TK12,TK18,TK91,TK92,TK93	INDEL,SNV	3	6
ENSG00000285292	ABCF2-H2BK1	Shared	TK13,TK14,TK16	INDEL,SNV	TK10,TK12,TK18,TK91,TK92,TK93	INDEL,SNV	3	6
ENSG00000161204	ABCF3	Shared	TK13,TK14,TK16	INDEL,SNV	TK10,TK12,TK18,TK91,TK92,TK93	INDEL,SNV	3	6
ENSG00000144827	ABHD10	Shared	TK13,TK14,TK16	INDEL,SNV	TK10,TK12,TK18,TK91,TK92,TK93	INDEL,SNV	3	6
ENSG00000106077	ABHD11	Shared	TK13,TK14,TK16	INDEL,SNV	TK10,TK12,TK18,TK91,TK92,TK93	INDEL,SNV	3	6
ENSG00000100997	ABHD12	Shared	TK13,TK14,TK16	INDEL,SNV	TK10,TK12,TK18,TK91,TK92,TK93	INDEL,SNV	3	6
ENSG00000139826	ABHD13	Shared	TK13,TK14,TK16	INDEL,SNV	TK10,TK12,TK18,TK91,TK92,TK93	INDEL,SNV	3	6
ENSG00000248487	ABHD14A	Shared	TK13,TK14,TK16	INDEL,SNV	TK10,TK12,TK18,TK91,TK92,TK93	INDEL,SNV	3	6
ENSG00000114786	ABHD14A-ACY1	Shared	TK13,TK14,TK16	INDEL,SNV	TK10,TK12,TK18,TK91,TK92,TK93	INDEL,SNV	3	6
ENSG00000114779	ABHD14B	Shared	TK13,TK14,TK16	INDEL,SNV	TK10,TK12,TK18,TK91,TK92,TK93	INDEL,SNV	3	6
ENSG00000264031	ABHD15-AS1	Shared	TK13,TK14,TK16	INDEL,SNV	TK10,TK12,TK18,TK91,TK92,TK93	INDEL,SNV	3	6
