gene_id	gene_name	vtype	group	chrom	start_x	end_x	arm	cytoband	biotype	n_samples	vtypes	mid	win_start	win_end	A_log2r	B_log2r	diff	A_cn	B_cn
ENSG00000101444	AHCY	SV	GroupA	20	34280268	34311802	q	20q1	protein_coding	6	DEL	34296035	34000000	35000000	3.0000	3.0000	0.0000	high amp (≥4 copies)	high amp (≥4 copies)
ENSG00000057663	ATG5	SV	GroupA	6	106045423	106325791	q	6q5	protein_coding	6	DEL	106185607	106000000	107000000	1.4672	1.5609	0.0936	gain (~3 copies)	high amp (≥4 copies)
ENSG00000030110	BAK1	SV	GroupA	6	33572547	33580293	p	6p3	protein_coding	6	DEL	33576420	33000000	34000000	2.8957	3.0000	0.1043	high amp (≥4 copies)	high amp (≥4 copies)
ENSG00000064666	CNN2	SV	GroupA	19	1026586	1039068	p	19p3	protein_coding	6	DEL	1032827	1000000	2000000	3.0000	3.0000	0.0000	high amp (≥4 copies)	high amp (≥4 copies)
ENSG00000226477	ENSG00000226477	SV	GroupA	22	22814671	22814926	q	22q1	unprocessed_pseudogene	6	DEL	22814798	22000000	23000000	3.0000	0.1005	-2.8995	high amp (≥4 copies)	diploid
ENSG00000231392	ENSG00000231392	SV	GroupA	22	22774529	22774691	q	22q1	unprocessed_pseudogene	6	DEL	22774610	22000000	23000000	3.0000	0.1005	-2.8995	high amp (≥4 copies)	diploid
ENSG00000266049	ENSG00000266049	SV	GroupA	18	2688564	2833065	p	18p2	lncRNA	6	DEL	2760814	2000000	3000000	1.2977	0.5725	-0.7252	gain (~3 copies)	mild gain
ENSG00000266936	ENSG00000266936	SV	GroupA	19	11010917	11016011	p	19p2	lncRNA	6	DEL	11013464	11000000	12000000	2.9321	3.0000	0.0679	high amp (≥4 copies)	high amp (≥4 copies)
ENSG00000269919	ENSG00000269919	SV	GroupA	6	106100140	106100593	q	6q5	lncRNA	6	DEL	106100366	106000000	107000000	1.4672	1.5609	0.0936	gain (~3 copies)	high amp (≥4 copies)
ENSG00000274381	ENSG00000274381	SV	GroupA	22	22803076	22803360	q	22q1	unprocessed_pseudogene	6	DEL	22803218	22000000	23000000	3.0000	0.1005	-2.8995	high amp (≥4 copies)	diploid
ENSG00000275772	ENSG00000275772	SV	GroupA	22	22785643	22787268	q	22q1	processed_pseudogene	6	DEL	22786455	22000000	23000000	3.0000	0.1005	-2.8995	high amp (≥4 copies)	diploid
ENSG00000278643	ENSG00000278643	SV	GroupA	19	11033727	11033912	p	19p2	misc_RNA	6	DEL	11033819	11000000	12000000	2.9321	3.0000	0.0679	high amp (≥4 copies)	high amp (≥4 copies)
ENSG00000288861	ENSG00000288861	SV	GroupA	22	22757217	22759496	q	22q1	lncRNA	6	DEL	22758356	22000000	23000000	3.0000	0.1005	-2.8995	high amp (≥4 copies)	diploid
ENSG00000289120	ENSG00000289120	SV	GroupA	22	22790853	22818916	q	22q1	lncRNA	6	DEL	22804884	22000000	23000000	3.0000	0.1005	-2.8995	high amp (≥4 copies)	diploid
ENSG00000077235	GTF3C1	SV	GroupA	16	27459555	27549913	p	16p1	protein_coding	6	DEL	27504734	27000000	28000000	1.2759	0.6090	-0.6669	gain (~3 copies)	gain (~3 copies)
ENSG00000235298	HNRNPK-AS1	SV	GroupA	9	83972233	83975777	q	9q5	lncRNA	6	DEL	83974005	83000000	84000000	2.2087	2.2846	0.0760	high amp (≥4 copies)	high amp (≥4 copies)
ENSG00000211678	IGLJ3	SV	GroupA	22	22904850	22905025	q	22q1	IG_J_gene	6	DEL	22904937	22000000	23000000	3.0000	0.1005	-2.8995	high amp (≥4 copies)	diploid
ENSG00000211668	IGLV2-11	SV	GroupA	22	22792491	22793007	q	22q1	IG_V_gene	6	DEL	22792749	22000000	23000000	3.0000	0.1005	-2.8995	high amp (≥4 copies)	diploid
ENSG00000211666	IGLV2-14	SV	GroupA	22	22758700	22759218	q	22q1	IG_V_gene	6	DEL	22758959	22000000	23000000	3.0000	0.1005	-2.8995	high amp (≥4 copies)	diploid
ENSG00000211664	IGLV2-18	SV	GroupA	22	22734607	22735089	q	22q1	IG_V_gene	6	DEL	22734848	22000000	23000000	3.0000	0.1005	-2.8995	high amp (≥4 copies)	diploid
ENSG00000278196	IGLV2-8	SV	GroupA	22	22822658	22823289	q	22q1	IG_V_gene	6	DEL	22822973	22000000	23000000	3.0000	0.1005	-2.8995	high amp (≥4 copies)	diploid
ENSG00000211669	IGLV3-10	SV	GroupA	22	22811747	22812281	q	22q1	IG_V_gene	6	DEL	22812014	22000000	23000000	3.0000	0.1005	-2.8995	high amp (≥4 copies)	diploid
ENSG00000211667	IGLV3-12	SV	GroupA	22	22771824	22772582	q	22q1	IG_V_gene	6	DEL	22772203	22000000	23000000	3.0000	0.1005	-2.8995	high amp (≥4 copies)	diploid
ENSG00000253590	IGLV3-13	SV	GroupA	22	22762294	22762516	q	22q1	IG_V_pseudogene	6	DEL	22762405	22000000	23000000	3.0000	0.1005	-2.8995	high amp (≥4 copies)	diploid
ENSG00000253786	IGLV3-15	SV	GroupA	22	22755554	22755797	q	22q1	IG_V_pseudogene	6	DEL	22755675	22000000	23000000	3.0000	0.1005	-2.8995	high amp (≥4 copies)	diploid
ENSG00000211665	IGLV3-16	SV	GroupA	22	22747383	22747921	q	22q1	IG_V_gene	6	DEL	22747652	22000000	23000000	3.0000	0.1005	-2.8995	high amp (≥4 copies)	diploid
ENSG00000253152	IGLV3-17	SV	GroupA	22	22738944	22739187	q	22q1	IG_V_pseudogene	6	DEL	22739065	22000000	23000000	3.0000	0.1005	-2.8995	high amp (≥4 copies)	diploid
ENSG00000211670	IGLV3-9	SV	GroupA	22	22819010	22819756	q	22q1	IG_V_gene	6	DEL	22819383	22000000	23000000	3.0000	0.1005	-2.8995	high amp (≥4 copies)	diploid
ENSG00000116679	IVNS1ABP	SV	GroupA	1	185296388	185317273	q	1q7	protein_coding	6	DEL	185306830	185000000	186000000	0.7385	0.4079	-0.3306	gain (~3 copies)	mild gain
ENSG00000182481	KPNA2	SV	GroupA	17	68035636	68047364	q	17q5	protein_coding	6	DEL	68041500	68000000	69000000	2.0027	2.3292	0.3264	high amp (≥4 copies)	high amp (≥4 copies)
ENSG00000122188	LAX1	SV	GroupA	1	203765177	203776372	q	1q9	protein_coding	6	DEL	203770774	203000000	204000000	2.7175	2.1760	-0.5415	high amp (≥4 copies)	high amp (≥4 copies)
ENSG00000130164	LDLR	SV	GroupA	19	11089418	11133820	p	19p2	protein_coding	6	DEL	11111619	11000000	12000000	2.9321	3.0000	0.0679	high amp (≥4 copies)	high amp (≥4 copies)
ENSG00000284049	MIR650	SV	GroupA	22	22822776	22822871	q	22q1	miRNA	6	DEL	22822823	22000000	23000000	3.0000	0.1005	-2.8995	high amp (≥4 copies)	diploid
ENSG00000284553	MIR6886	SV	GroupA	19	11113474	11113534	p	19p2	miRNA	6	DEL	11113504	11000000	12000000	2.9321	3.0000	0.0679	high amp (≥4 copies)	high amp (≥4 copies)
ENSG00000099875	MKNK2	SV	GroupA	19	2037465	2051244	p	19p3	protein_coding	6	DEL	2044354	2000000	3000000	3.0000	3.0000	0.0000	high amp (≥4 copies)	high amp (≥4 copies)
ENSG00000144815	NXPE3	SV	GroupA	3	101779177	101843743	q	3q2	protein_coding	6	DEL	101811460	101000000	102000000	2.2094	3.0000	0.7906	high amp (≥4 copies)	high amp (≥4 copies)
ENSG00000142655	PEX14	SV	GroupA	1	10472288	10630758	p	1p12	protein_coding	6	DEL	10551523	10000000	11000000	2.0743	2.5717	0.4974	high amp (≥4 copies)	high amp (≥4 copies)
ENSG00000143393	PI4KB	SV	GroupA	1	151291797	151327715	q	1q3	protein_coding	6	DEL	151309756	151000000	152000000	2.8571	3.0000	0.1429	high amp (≥4 copies)	high amp (≥4 copies)
ENSG00000186141	POLR3C	SV	GroupA	1	145824053	145844402	q	1q3	protein_coding	6	DEL	145834227	145000000	146000000	2.5677	2.9789	0.4112	high amp (≥4 copies)	high amp (≥4 copies)
ENSG00000253729	PRKDC	SV	GroupA	8	47773111	47960178	q	8q1	protein_coding	6	DEL	47866644	47000000	48000000	2.6758	3.0000	0.3242	high amp (≥4 copies)	high amp (≥4 copies)
ENSG00000276757	RN7SL192P	SV	GroupA	19	11011708	11012006	p	19p2	misc_RNA	6	DEL	11011857	11000000	12000000	2.9321	3.0000	0.0679	high amp (≥4 copies)	high amp (≥4 copies)
ENSG00000031698	SARS1	SV	GroupA	1	109213918	109238182	p	1p2	protein_coding	6	DEL	109226050	109000000	110000000	2.0501	2.5714	0.5213	high amp (≥4 copies)	high amp (≥4 copies)
ENSG00000017483	SLC38A5	SV	GroupA	X	48458537	48470260	p	Xp2	protein_coding	6	DEL	48464398	48000000	49000000	2.7600	3.0000	0.2400	high amp (≥4 copies)	high amp (≥4 copies)
ENSG00000144028	SNRNP200	SV	GroupA	2	96274338	96321271	q	2q1	protein_coding	6	DEL	96297804	96000000	97000000	1.8870	3.0000	1.1130	high amp (≥4 copies)	high amp (≥4 copies)
ENSG00000161888	SPC24	SV	GroupA	19	11131520	11155807	p	19p2	protein_coding	6	DEL	11143663	11000000	12000000	2.9321	3.0000	0.0679	high amp (≥4 copies)	high amp (≥4 copies)
ENSG00000142444	TIMM29	SV	GroupA	19	10928811	10933535	p	19p2	protein_coding	6	DEL	10931173	10000000	11000000	3.0000	3.0000	0.0000	high amp (≥4 copies)	high amp (≥4 copies)
ENSG00000100219	XBP1	SV	GroupA	22	28794555	28800597	q	22q2	protein_coding	6	DEL	28797576	28000000	29000000	2.4287	2.9007	0.4720	high amp (≥4 copies)	high amp (≥4 copies)
ENSG00000130733	YIPF2	SV	GroupA	19	10922185	10928681	p	19p2	protein_coding	6	DEL	10925433	10000000	11000000	3.0000	3.0000	0.0000	high amp (≥4 copies)	high amp (≥4 copies)
ENSG00000234231	ANAPC1P4	SV	GroupA	2	87700984	87738105	p	2p1	transcribed_unprocessed_pseudogene	5	DEL	87719544	87000000	88000000	2.4906	3.0000	0.5094	high amp (≥4 copies)	high amp (≥4 copies)
ENSG00000138279	ANXA7	SV	GroupA	10	73375101	73414076	q	10q4	protein_coding	5	DEL	73394588	73000000	74000000	2.5127	2.3828	-0.1299	high amp (≥4 copies)	high amp (≥4 copies)
ENSG00000161203	AP2M1	SV	GroupA	3	184174689	184184214	q	3q10	protein_coding	5	DEL	184179451	184000000	185000000	2.2357	2.9354	0.6997	high amp (≥4 copies)	high amp (≥4 copies)
ENSG00000128335	APOL2	SV	GroupA	22	36226209	36239954	q	22q3	protein_coding	5	DEL	36233081	36000000	37000000	2.6180	3.0000	0.3820	high amp (≥4 copies)	high amp (≥4 copies)
ENSG00000224144	ASH2LP1	SV	GroupA	22	22420326	22421310	q	22q1	processed_pseudogene	5	DEL	22420818	22000000	23000000	3.0000	0.1005	-2.8995	high amp (≥4 copies)	diploid
ENSG00000215456	BCRP4	SV	GroupA	22	22630065	22636153	q	22q1	unprocessed_pseudogene	5	DEL	22633109	22000000	23000000	3.0000	0.1005	-2.8995	high amp (≥4 copies)	diploid
ENSG00000166226	CCT2	SV	GroupA	12	69585426	69601570	q	12q4	protein_coding	5	DEL	69593498	69000000	70000000	1.4445	1.7250	0.2805	gain (~3 copies)	high amp (≥4 copies)
