gene_id	gene_name	vtype	group	chrom	start	end	arm	cytoband	biotype	n_samples	vtypes
ENSG00000101444	AHCY	SV	GroupA	20	34280268	34311802	q	20q1	protein_coding	6	DEL
ENSG00000057663	ATG5	SV	GroupA	6	106045423	106325791	q	6q5	protein_coding	6	DEL
ENSG00000030110	BAK1	SV	GroupA	6	33572547	33580293	p	6p3	protein_coding	6	DEL
ENSG00000064666	CNN2	SV	GroupA	19	1026586	1039068	p	19p3	protein_coding	6	DEL
ENSG00000226477	ENSG00000226477	SV	GroupA	22	22814671	22814926	q	22q1	unprocessed_pseudogene	6	DEL
ENSG00000231392	ENSG00000231392	SV	GroupA	22	22774529	22774691	q	22q1	unprocessed_pseudogene	6	DEL
ENSG00000266049	ENSG00000266049	SV	GroupA	18	2688564	2833065	p	18p2	lncRNA	6	DEL
ENSG00000266936	ENSG00000266936	SV	GroupA	19	11010917	11016011	p	19p2	lncRNA	6	DEL
ENSG00000269919	ENSG00000269919	SV	GroupA	6	106100140	106100593	q	6q5	lncRNA	6	DEL
ENSG00000274381	ENSG00000274381	SV	GroupA	22	22803076	22803360	q	22q1	unprocessed_pseudogene	6	DEL
ENSG00000275772	ENSG00000275772	SV	GroupA	22	22785643	22787268	q	22q1	processed_pseudogene	6	DEL
ENSG00000278643	ENSG00000278643	SV	GroupA	19	11033727	11033912	p	19p2	misc_RNA	6	DEL
ENSG00000288861	ENSG00000288861	SV	GroupA	22	22757217	22759496	q	22q1	lncRNA	6	DEL
ENSG00000289120	ENSG00000289120	SV	GroupA	22	22790853	22818916	q	22q1	lncRNA	6	DEL
ENSG00000077235	GTF3C1	SV	GroupA	16	27459555	27549913	p	16p1	protein_coding	6	DEL
ENSG00000235298	HNRNPK-AS1	SV	GroupA	9	83972233	83975777	q	9q5	lncRNA	6	DEL
ENSG00000211678	IGLJ3	SV	GroupA	22	22904850	22905025	q	22q1	IG_J_gene	6	DEL
ENSG00000211668	IGLV2-11	SV	GroupA	22	22792491	22793007	q	22q1	IG_V_gene	6	DEL
ENSG00000211666	IGLV2-14	SV	GroupA	22	22758700	22759218	q	22q1	IG_V_gene	6	DEL
ENSG00000211664	IGLV2-18	SV	GroupA	22	22734607	22735089	q	22q1	IG_V_gene	6	DEL
ENSG00000278196	IGLV2-8	SV	GroupA	22	22822658	22823289	q	22q1	IG_V_gene	6	DEL
ENSG00000211669	IGLV3-10	SV	GroupA	22	22811747	22812281	q	22q1	IG_V_gene	6	DEL
ENSG00000211667	IGLV3-12	SV	GroupA	22	22771824	22772582	q	22q1	IG_V_gene	6	DEL
ENSG00000253590	IGLV3-13	SV	GroupA	22	22762294	22762516	q	22q1	IG_V_pseudogene	6	DEL
ENSG00000253786	IGLV3-15	SV	GroupA	22	22755554	22755797	q	22q1	IG_V_pseudogene	6	DEL
ENSG00000211665	IGLV3-16	SV	GroupA	22	22747383	22747921	q	22q1	IG_V_gene	6	DEL
ENSG00000253152	IGLV3-17	SV	GroupA	22	22738944	22739187	q	22q1	IG_V_pseudogene	6	DEL
ENSG00000211670	IGLV3-9	SV	GroupA	22	22819010	22819756	q	22q1	IG_V_gene	6	DEL
ENSG00000116679	IVNS1ABP	SV	GroupA	1	185296388	185317273	q	1q7	protein_coding	6	DEL
ENSG00000182481	KPNA2	SV	GroupA	17	68035636	68047364	q	17q5	protein_coding	6	DEL
ENSG00000122188	LAX1	SV	GroupA	1	203765177	203776372	q	1q9	protein_coding	6	DEL
ENSG00000130164	LDLR	SV	GroupA	19	11089418	11133820	p	19p2	protein_coding	6	DEL
ENSG00000284049	MIR650	SV	GroupA	22	22822776	22822871	q	22q1	miRNA	6	DEL
ENSG00000284553	MIR6886	SV	GroupA	19	11113474	11113534	p	19p2	miRNA	6	DEL
ENSG00000099875	MKNK2	SV	GroupA	19	2037465	2051244	p	19p3	protein_coding	6	DEL
ENSG00000144815	NXPE3	SV	GroupA	3	101779177	101843743	q	3q2	protein_coding	6	DEL
ENSG00000142655	PEX14	SV	GroupA	1	10472288	10630758	p	1p12	protein_coding	6	DEL
ENSG00000143393	PI4KB	SV	GroupA	1	151291797	151327715	q	1q3	protein_coding	6	DEL
ENSG00000186141	POLR3C	SV	GroupA	1	145824053	145844402	q	1q3	protein_coding	6	DEL
ENSG00000253729	PRKDC	SV	GroupA	8	47773111	47960178	q	8q1	protein_coding	6	DEL
ENSG00000276757	RN7SL192P	SV	GroupA	19	11011708	11012006	p	19p2	misc_RNA	6	DEL
ENSG00000031698	SARS1	SV	GroupA	1	109213918	109238182	p	1p2	protein_coding	6	DEL
ENSG00000017483	SLC38A5	SV	GroupA	X	48458537	48470260	p	Xp2	protein_coding	6	DEL
ENSG00000144028	SNRNP200	SV	GroupA	2	96274338	96321271	q	2q1	protein_coding	6	DEL
ENSG00000161888	SPC24	SV	GroupA	19	11131520	11155807	p	19p2	protein_coding	6	DEL
ENSG00000142444	TIMM29	SV	GroupA	19	10928811	10933535	p	19p2	protein_coding	6	DEL
ENSG00000100219	XBP1	SV	GroupA	22	28794555	28800597	q	22q2	protein_coding	6	DEL
ENSG00000130733	YIPF2	SV	GroupA	19	10922185	10928681	p	19p2	protein_coding	6	DEL
ENSG00000234231	ANAPC1P4	SV	GroupA	2	87700984	87738105	p	2p1	transcribed_unprocessed_pseudogene	5	DEL
ENSG00000138279	ANXA7	SV	GroupA	10	73375101	73414076	q	10q4	protein_coding	5	DEL
ENSG00000161203	AP2M1	SV	GroupA	3	184174689	184184214	q	3q10	protein_coding	5	DEL
ENSG00000128335	APOL2	SV	GroupA	22	36226209	36239954	q	22q3	protein_coding	5	DEL
ENSG00000224144	ASH2LP1	SV	GroupA	22	22420326	22421310	q	22q1	processed_pseudogene	5	DEL
ENSG00000215456	BCRP4	SV	GroupA	22	22630065	22636153	q	22q1	unprocessed_pseudogene	5	DEL
ENSG00000166226	CCT2	SV	GroupA	12	69585426	69601570	q	12q4	protein_coding	5	DEL
ENSG00000117091	CD48	SV	GroupA	1	160678746	160711831	q	1q4	protein_coding	5	DEL
ENSG00000188603	CLN3	SV	GroupA	16	28474111	28495575	p	16p1	protein_coding	5	DEL
ENSG00000227684	CROCCP4	SV	GroupA	1	16750233	16750964	p	1p11	transcribed_unprocessed_pseudogene	5	DEL
ENSG00000023892	DEF6	SV	GroupA	6	35297818	35321771	p	6p3	protein_coding	5	DEL
ENSG00000116133	DHCR24	SV	GroupA	1	54849627	54887195	p	1p7	protein_coding	5	DEL
ENSG00000285467	DHRS4L1	SV	GroupA	14	23969931	24051377	q	14q1	lncRNA	5	DEL
ENSG00000086061	DNAJA1	SV	GroupA	9	33025273	33039907	p	9p1	protein_coding	5	DEL
ENSG00000223643	ENSG00000223643	SV	GroupA	1	16851257	16853129	p	1p11	lncRNA	5	DEL
ENSG00000223999	ENSG00000223999	SV	GroupA	22	22692778	22693312	q	22q1	lncRNA	5	DEL
ENSG00000226595	ENSG00000226595	SV	GroupA	22	22465659	22465986	q	22q1	unprocessed_pseudogene	5	DEL
ENSG00000228549	ENSG00000228549	SV	GroupA	1	16870945	16883659	p	1p11	lncRNA	5	DEL
ENSG00000230821	ENSG00000230821	SV	GroupA	22	22446686	22448336	q	22q1	processed_pseudogene	5	DEL
ENSG00000232350	ENSG00000232350	SV	GroupA	22	22689831	22689978	q	22q1	unprocessed_pseudogene	5	DEL
ENSG00000235241	ENSG00000235241	SV	GroupA	1	16889095	16889602	p	1p11	processed_pseudogene	5	DEL
ENSG00000238142	ENSG00000238142	SV	GroupA	1	16887577	16889725	p	1p11	lncRNA	5	DEL
ENSG00000245156	ENSG00000245156	SV	GroupA	11	66269832	66278525	q	11q2	lncRNA	5	DEL
