gene_id	gene_name	category	groupA_samples	groupA_vtypes	groupB_samples	groupB_vtypes	n_groupA_samples	n_groupB_samples
ENSG00000073734	ABCB11	GroupA_exclusive	TK13,TK14,TK16	SNV			3	0
ENSG00000232396	CABP7-DT	GroupA_exclusive	TK13,TK14,TK16	SNV			3	0
ENSG00000242198	ENSG00000242198	GroupA_exclusive	TK13,TK14,TK16	SNV			3	0
ENSG00000260063	ENSG00000260063	GroupA_exclusive	TK13,TK14,TK16	SNV			3	0
ENSG00000279265	ENSG00000279265	GroupA_exclusive	TK13,TK14,TK16	INDEL,SNV			3	0
ENSG00000285336	ENSG00000285336	GroupA_exclusive	TK13,TK14,TK16	INDEL,SNV			3	0
ENSG00000287967	ENSG00000287967	GroupA_exclusive	TK13,TK14,TK16	SNV			3	0
ENSG00000288004	ENSG00000288004	GroupA_exclusive	TK13,TK14,TK16	SNV			3	0
ENSG00000196468	FGF16	GroupA_exclusive	TK13,TK14,TK16	SNV			3	0
ENSG00000110169	HPX	GroupA_exclusive	TK13,TK14,TK16	SNV			3	0
ENSG00000211973	IGHV1-69	GroupA_exclusive	TK13,TK14,TK16	SNV			3	0
ENSG00000111262	KCNA1	GroupA_exclusive	TK13,TK14,TK16	SNV			3	0
ENSG00000114248	LRRC31	GroupA_exclusive	TK13,TK14,TK16	SNV			3	0
ENSG00000103313	MEFV	GroupA_exclusive	TK13,TK14,TK16	SNV			3	0
ENSG00000166408	OR5P1P	GroupA_exclusive	TK13,TK14,TK16	SNV			3	0
ENSG00000248257	PSG10P	GroupA_exclusive	TK13,TK14,TK16	SNV			3	0
ENSG00000095932	SMIM24	GroupA_exclusive	TK13,TK14,TK16	SNV			3	0
ENSG00000166948	TGM6	GroupA_exclusive	TK13,TK14,TK16	SNV			3	0
ENSG00000184795	UNC93B5	GroupA_exclusive	TK13,TK14,TK16	INDEL,SNV			3	0
ENSG00000202111	VTRNA1-2	GroupA_exclusive	TK13,TK14,TK16	SNV			3	0
ENSG00000173578	XCR1	GroupA_exclusive	TK13,TK14,TK16	INDEL,SNV			3	0
ENSG00000196345	ZKSCAN7	GroupA_exclusive	TK13,TK14,TK16	SNV			3	0
ENSG00000205002	AARD	GroupA_exclusive	TK13,TK14	SNV			2	0
ENSG00000198691	ABCA4	GroupA_exclusive	TK13,TK14	SNV			2	0
ENSG00000145536	ADAMTS16	GroupA_exclusive	TK13,TK14	INDEL,SNV			2	0
ENSG00000141433	ADCYAP1	GroupA_exclusive	TK13,TK14	SNV			2	0
ENSG00000079557	AFM	GroupA_exclusive	TK13,TK14	SNV			2	0
ENSG00000172482	AGXT	GroupA_exclusive	TK13,TK14	SNV			2	0
ENSG00000223621	AK4P4	GroupA_exclusive	TK14,TK16	SNV			2	0
ENSG00000151632	AKR1C2	GroupA_exclusive	TK13,TK14	SNV			2	0
ENSG00000178171	AMER3	GroupA_exclusive	TK13,TK14	SNV			2	0
